id,name,description,preferenceOrder
7a08832d-3517-4fe9-9bdb-dac02091ba07,Beginner,I just started learning Jamaican Patois,1
c512faf9-0a7b-4c84-bd32-66153e40525e,Intermediate,I know some words and phrases,2
